index,Year,Severity,Rate,VMT
6,2019,Fatality Rate,1.411027724,225722000
7,2019,Injury Rate,112.8893063,225722000
8,2019,Crash Rate,178.036257,225722000
9,2020,Fatality Rate,1.571320107,212051000
10,2020,Injury Rate,100.1796738,212051000
11,2020,Crash Rate,160.9985334,212051000
12,2021,Fatality Rate,1.719478227,217566000
13,2021,Injury Rate,116.2741421,217566000
14,2021,Crash Rate,184.5600875,217566000
15,2022,Fatality Rate,1.559995961,227757000
16,2022,Injury Rate,110.7184411,227757000
17,2022,Crash Rate,174.5808032,227757000
18,2023,Fatality Rate,1.4109827,239195000
19,2023,Injury Rate,105.47252,239195000
20,2023,Crash Rate,165.2104,239195000
