Index,County,Year,SHS Urban ,SHS NonUrban ,NHS Urban ,NHS NonUrban ,TotalSHSVMT ,TotalNHSVMT 
0,CLAY,2018,1630933,572711,1548221,346939,2203644,1895160
1,CLAY,2019,1566874,612343,1484137,373582,2179217,1857720
2,CLAY,2020,1546187,582013,1392593,363101,2128200,1755694
3,CLAY,2021,1618662,619775,1457240,386463,2238438,1843703
4,CLAY,2022,1635231,626231,1473578,393013,2261461,1866592
5,CLAY,2023,1652788,635195,1487948,400171,2287983,2123143
6,DUVAL,2018,20445853,557534,18026687,478271,21003387,18504958
7,DUVAL,2019,21414361,551957,18797854,463808,21966319,19261662
8,DUVAL,2020,19053536,532119,16600068,475942,19585655,17076009
9,DUVAL,2021,19244885,792169,16731402,702353,20037053,17433755
10,DUVAL,2022,20780101,889690,18169601,793690,21669791,18963291
11,DUVAL,2023,21399735,832630,18719431,738280,22232365,19552061
12,NASSAU,2018,229,1921912,33,1769789,1922141,1769822
13,NASSAU,2019,211,1966708,32,1802131,1966919,1802163
14,NASSAU,2020,211,1942571,28,1767253,1942782,1767282
15,NASSAU,2021,0,2046700,0,1874581,2046700,2046700
16,NASSAU,2022,0,2270600,0,2106854,2270600,2270600
17,NASSAU,2023,0,2445392,0,2274030,2445392,2445392
18,ST.JOHNS,2018,1704634,3556764,807837,3377219,5261397,4185056
19,ST.JOHNS,2019,1697713,3607159,785818,3377149,5304872,4162966
20,ST.JOHNS,2020,1623214,3707750,745451,3468986,5330964,4214437
21,ST.JOHNS,2021,1699882,4254029,789045,4014514,5953911,4803559
22,ST.JOHNS,2022,1792129,4222199,844825,3961252,6014327,4806077
23,ST.JOHNS,2023,1715737,4296589,796157,3995187,6012326,5092746
